,t7,o3
2020-03-12 16:00:00,100.0,80.0
2020-03-12 17:00:00,100.0,79.0
2020-03-12 18:00:00,95.0,78.0
2020-03-12 19:00:00,92.0,77.0
2020-03-12 20:00:00,82.0,54.0
2020-03-12 21:00:00,68.0,38.0
2020-03-12 22:00:00,59.0,22.0
2020-03-12 23:00:00,48.0,20.0
2020-03-13 00:00:00,54.0,18.0
2020-03-13 01:00:00,62.0,15.0
2020-03-13 02:00:00,61.0,13.0
2020-03-13 03:00:00,57.0,13.0
2020-03-13 04:00:00,58.0,11.0
2020-03-13 05:00:00,56.0,10.0
2020-03-13 06:00:00,44.0,13.0
2020-03-13 07:00:00,22.0,11.0
2020-03-13 08:00:00,16.0,12.0
2020-03-13 09:00:00,18.0,12.0
2020-03-13 10:00:00,37.0,17.0
2020-03-13 11:00:00,53.0,26.0
2020-03-13 12:00:00,66.0,45.0
2020-03-13 13:00:00,70.0,67.0
2020-03-13 14:00:00,80.0,77.0
2020-03-13 15:00:00,80.0,80.0
2020-03-13 16:00:00,77.0,84.0
2020-03-13 17:00:00,79.0,78.0
2020-03-13 18:00:00,76.0,73.0
2020-03-13 20:00:00,54.0,57.0
2020-03-13 21:00:00,29.0,48.0
2020-03-13 22:00:00,10.0,32.0
2020-03-13 23:00:00,11.0,19.0
2020-03-14 00:00:00,9.0,15.0
2020-03-14 01:00:00,6.0,16.0
2020-03-14 02:00:00,5.0,17.0
2020-03-14 03:00:00,5.0,15.0
2020-03-14 04:00:00,2.0,14.0
2020-03-14 05:00:00,2.0,16.0
2020-03-14 06:00:00,2.0,17.0
2020-03-14 07:00:00,2.0,20.0
2020-03-14 08:00:00,2.0,21.0
2020-03-14 09:00:00,4.0,19.0
2020-03-14 10:00:00,9.0,22.0
2020-03-14 11:00:00,20.0,20.0
2020-03-14 12:00:00,42.0,22.0
2020-03-14 13:00:00,63.0,28.0
2020-03-14 14:00:00,74.0,35.0
2020-03-14 15:00:00,80.0,49.0
2020-03-14 16:00:00,84.0,63.0
2020-03-14 17:00:00,78.0,70.0
2020-03-14 18:00:00,71.0,68.0
2020-03-14 19:00:00,64.0,59.0
2020-03-14 20:00:00,53.0,49.0
2020-03-14 21:00:00,45.0,41.0
2020-03-14 22:00:00,25.0,25.0
2020-03-14 23:00:00,11.0,21.0
2020-03-15 00:00:00,5.0,18.0
2020-03-15 01:00:00,6.0,18.0
2020-03-15 02:00:00,6.0,21.0
2020-03-15 03:00:00,5.0,19.0
2020-03-15 04:00:00,4.0,15.0
2020-03-15 05:00:00,6.0,14.0
2020-03-15 06:00:00,5.0,13.0
2020-03-15 07:00:00,10.0,14.0
2020-03-15 08:00:00,13.0,16.0
2020-03-15 09:00:00,10.0,18.0
2020-03-15 10:00:00,10.0,20.0
2020-03-15 11:00:00,14.0,19.0
